Player,Season,Team,Type,Minutes,POS,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,BOX-LEBRON,BOX-O-LEBRON,BOX-D-LEBRON
De'Aaron Fox,2022-23,SAC,Slasher,"2,435",PG,25,2.08,2.96,-0.88,7,2.67,3.23,-0.56
Alex Caruso,2022-23,CHI,Stationary Shooter,"1,575",PG,29,2.08,-0.89,2.97,4.5,-0.02,-1.84,1.82
Steven Adams,2022-23,MEM,Roll + Cut Big,"1,133",C,29,2.01,0.14,1.87,3.2,0.8,-0.5,1.31
Desmond Bane,2022-23,MEM,Secondary Ball Handler,"1,842",SG,24,1.97,1.76,0.22,5.1,1.59,1.64,-0.05
Jalen Brunson,2022-23,NYK,Shot Creator,"2,379",PG,26,1.89,3.12,-1.23,6.5,2.14,2.73,-0.59
Robert Williams III,2022-23,BOS,Roll + Cut Big,824,C,25,1.85,-0.21,2.06,2.2,1.01,-0.75,1.75
Kevon Looney,2022-23,GSW,Roll + Cut Big,"1,958",C,27,1.68,0.33,1.35,5.1,1.85,0.25,1.6
Nikola Vucevic,2022-23,CHI,Versatile Big,"2,746",C,32,1.67,0.61,1.07,7.2,2.01,0.59,1.42
Josh Hart,2022-23,POR/NYK,Stationary Shooter,"2,454",SG,28,1.67,0.09,1.57,6.4,-0.36,-0.89,0.53
Jakob Poeltl,2022-23,SAS/TOR,Roll + Cut Big,"1,906",C,27,1.59,-0.53,2.12,4.9,0.82,-0.23,1.05
Bam Adebayo,2022-23,MIA,Shot Creator,"2,598",C,25,1.54,0.07,1.46,6.5,1.17,-0.05,1.22
Chris Boucher,2022-23,TOR,Stretch Big,"1,523",PF,30,1.53,0.94,0.59,3.8,0.24,-0.11,0.35
Andre Drummond,2022-23,CHI,Roll + Cut Big,849,C,29,1.52,-0.58,2.1,2.1,1.21,-0.56,1.77
Spencer Dinwiddie,2022-23,DAL/BRK,Shot Creator,"2,725",PG,30,1.49,1.76,-0.28,6.8,1.42,2.08,-0.66
Cameron Johnson,2022-23,PHO/BRK,Stationary Shooter,"1,200",PF,27,1.46,0.95,0.51,3,0.83,0.87,-0.04
